Name;Instance count;Size (bytes)
java.lang.reflect.Constructor[ ];24;472
java.awt.font.TextAttribute;23;368
scala.collection.mutable.HashEntry[ ];23;2096
com.jprofiler.api.agent.probe.ThreadLocalStack;23;368
sun.java2d.pipe.PixelToParallelogramConverter;23;1104
java.util.jar.Attributes$Name;23;552
java.security.Provider$UString;23;552
com.jprofiler.api.agent.probe.ThreadLocalStack$1;23;552
java.security.Provider$Service;23;1288
scala.collection.mutable.HashMap;22;704
java.net.SocksSocketImpl;22;2464
java.net.DualStackPlainSocketImpl;22;1760
com.siigna.app.model.shape.TextShape;22;1056
sun.reflect.generics.tree.ClassTypeSignature;21;336
java.util.Locale$LocaleKey;21;504
javax.management.ObjectName;21;840
sun.font.Font2DHandle;21;336
boolean[ ];21;664
sun.reflect.DelegatingClassLoader;20;1280
java.net.Inet4Address;20;640
sun.font.CompositeFont;20;1920
com.jprofiler.agent.probe.structures.MetaDataImpl;20;1920
java.net.Socket;20;640
com.siigna.util.geom.TransformationMatrix$$anonfun$flipY$1;20;320
sun.font.PhysicalFont[ ];20;1440
com.sun.jmx.mbeanserver.NamedObject;20;480
java.util.zip.ZipCoder;19;608
sun.java2d.loops.CompositeType;19;456
com.siigna.app.model.Drawing$$anonfun$3;19;304
com.siigna.app.model.Drawing$$anonfun$1;19;304
com.siigna.app.model.Drawing$$anonfun$2;19;304
java.lang.reflect.Field[ ];19;792
com.sun.jmx.mbeanserver.WeakIdentityHashMap$IdentityWeakReference;19;608
java.util.ArrayDeque;19;456
java.io.ObjectStreamClass;19;1976
java.util.TreeMap;19;912
java.io.ObjectStreamClass$WeakClassKey;19;608
scala.actors.Channel;19;304
com.siigna.app.model.Drawing$$anonfun$boundaryScale$1;19;304
com.sun.jmx.mbeanserver.MXBeanSupport;18;720
sun.font.FontStrikeDisposer;18;864
sun.font.StrikeCache$SoftDisposerRef;18;864
scala.collection.generic.GenTraversableFactory$GenericCanBuildFrom;18;288
sun.font.FileFontStrike;18;2160
sun.reflect.BootstrapConstructorAccessorImpl;18;288
com.siigna.app.model.shape.CircleShape;17;544
sun.java2d.loops.DrawGlyphList;17;816
scala.Enumeration$Val;17;544
java.util.Collections$SynchronizedMap;17;544
sun.java2d.loops.FillRect;17;816
java.lang.Thread;16;1664
java.lang.management.PlatformComponent[ ];16;328
sun.java2d.loops.FillSpans;16;768
sun.java2d.loops.DrawPath;16;768
sun.java2d.loops.FillPath;16;768
java.io.ObjectStreamClass$ClassDataSlot;16;384
java.util.HashMap$KeySet;16;256
sun.java2d.loops.DrawPolygons;16;768
sun.java2d.loops.DrawRect;16;768
sun.java2d.loops.DrawLine;16;768
javax.management.openmbean.ArrayType;15;840
java.lang.management.PlatformComponent;15;720
java.io.ObjectStreamClass$FieldReflectorKey;15;600
scala.collection.mutable.ArrayBuffer;15;360
java.io.ObjectStreamClass$FieldReflector;15;600
java.util.concurrent.atomic.AtomicInteger;15;240
com.siigna.util.event.ModifierKeys;14;224
com.jprofiler.agent.probe.structures.s;14;336
com.jprofiler.agent.probe.structures.q;14;336
java.util.jar.JarFile;14;896
com.jprofiler.agent.probe.structures.r;14;336
scala.concurrent.forkjoin.LinkedTransferQueue$QNode;14;448
sun.awt.CausedFocusEvent$Cause;14;336
scala.collection.TraversableLike$$anonfun$map$1;14;336
java.lang.ThreadLocal;14;224
javax.management.StandardMBean;14;336
java.io.File;14;336
javax.management.MBeanConstructorInfo[ ];14;240
sun.java2d.loops.TransformHelper;14;672
sun.java2d.StateTrackableDelegate;14;336
com.jprofiler.agent.probe.t;14;224
com.jprofiler.agent.probe.s;14;336
short[ ][ ];14;440
com.jprofiler.agent.probe.r;14;1904
javax.management.openmbean.SimpleType;14;560
java.security.ProtectionDomain[ ];13;368
sun.font.TrueTypeFont$DirectoryEntry;13;416
sun.java2d.loops.DrawGlyphListLCD;13;624
java.io.ObjectStreamClass$ClassDataSlot[ ];13;312
com.sun.jmx.mbeanserver.PerInterface;13;520
com.jprofiler.agent.r;13;416
