"Name";"Instance count";"Size (bytes)"
"sun.reflect.DelegatingConstructorAccessorImpl";37;592
"sun.reflect.NativeConstructorAccessorImpl";36;864
"java.security.AccessControlContext";35;1120
"javax.management.MBeanParameterInfo";35;1120
"java.util.Date";34;816
"sun.util.logging.PlatformLogger";33;528
"java.util.Collections$SingletonList";33;792
"sun.util.logging.PlatformLogger$JavaLogger";33;1056
"java.lang.reflect.Constructor[ ]";33;688
"sun.font.SunFontManager$FontRegistrationInfo";32;1024
"sun.awt.SunHints$Value";32;768
"com.sun.jmx.mbeanserver.DefaultMXBeanMappingFactory$IdentityMapping";32;768
"javax.management.MBeanParameterInfo[ ]";30;728
"sun.java2d.loops.DrawGlyphListAA";30;1440
"javax.management.ObjectName$Property";30;720
"java.security.Provider$EngineDescription";30;960
"sun.misc.URLClassPath$JarLoader";29;1392
"java.math.BigDecimal";28;1120
"sun.java2d.loops.BlitBg";27;1296
"com.jprofiler.agent.util.a.t[ ]";27;2160
"com.jprofiler.agent.util.a.s";27;1296
"java.util.Locale";26;624
"java.security.ProtectionDomain";26;1040
"java.security.Principal[ ]";26;416
"java.security.ProtectionDomain$Key";26;416
"java.security.CodeSource";26;832
"com.jprofiler.agent.probe.a.a.s[ ]";26;656
"scala.Symbol";25;400
"sun.util.locale.BaseLocale";25;800
"java.util.HashMap$EntryIterator";25;1000
"sun.util.locale.BaseLocale$Key";25;1000
"sun.font.EAttribute";24;768
"java.lang.ThreadLocal$ThreadLocalMap$Entry";24;768
"java.awt.font.TextAttribute";23;368
"com.jprofiler.api.agent.probe.ThreadLocalStack";23;368
"java.util.jar.Attributes$Name";23;552
"java.security.Provider$UString";23;552
"com.jprofiler.api.agent.probe.ThreadLocalStack$1";23;552
"java.security.Provider$Service";23;1288
"java.lang.Float";22;352
"sun.reflect.generics.tree.ClassTypeSignature";21;336
"java.util.Locale$LocaleKey";21;504
"javax.management.ObjectName";21;840
"boolean[ ]";21;664
"java.lang.reflect.Field[ ]";20;824
"scala.collection.mutable.HashEntry[ ]";20;1664
"sun.nio.cs.UTF_8$Encoder";20;960
"sun.font.CompositeFont";20;1920
"com.jprofiler.agent.probe.structures.MetaDataImpl";20;1920
"sun.font.Font2DHandle";20;320
"sun.font.PhysicalFont[ ]";20;1440
"com.sun.jmx.mbeanserver.NamedObject";20;480
"sun.java2d.loops.CompositeType";19;456
"sun.reflect.DelegatingClassLoader";19;1216
