"Name";"Instance count";"Size (bytes)"
"scala.collection.parallel.immutable.ParHashMap$ParHashMapIterator$$anon$3";21;840
"scala.concurrent.forkjoin.ForkJoinPool$AdaptedRunnable";21;672
"java.util.Locale$LocaleKey";21;504
"scala.collection.immutable.TrieIterator$$anonfun$iteratorWithSize$1";21;336
"javax.management.ObjectName";21;840
"scala.collection.parallel.immutable.ParHashMap$ParHashMapIterator[ ]";21;504
"sun.font.Font2DHandle";21;336
"boolean[ ]";21;664
"com.siigna.app.model.Drawing$$anonfun$1";20;320
"java.lang.reflect.Field[ ]";20;1648
"sun.font.CompositeFont";20;1920
"com.jprofiler.agent.probe.structures.MetaDataImpl";20;1920
"sun.font.PhysicalFont[ ]";20;1440
"com.sun.jmx.mbeanserver.NamedObject";20;480
"java.util.zip.ZipCoder";19;608
"sun.java2d.loops.CompositeType";19;456
"com.sun.jmx.mbeanserver.WeakIdentityHashMap$IdentityWeakReference";19;608
"scala.actors.Reactor$$anonfun$startSearch$1$$anonfun$apply$mcV$sp$1";19;304
"java.util.ArrayDeque";19;456
"scala.actors.remote.NamedSend";19;608
"java.io.ObjectStreamClass";19;1976
"java.util.TreeMap";19;912
"java.util.ArrayList$Itr";19;608
"java.io.ObjectStreamClass$WeakClassKey";19;608
"java.net.InetSocketAddress";19;456
"scala.actors.Reactor$$anonfun$startSearch$1";19;608
"java.net.URI";19;1520
"com.sun.jmx.mbeanserver.MXBeanSupport";18;720
"com.siigna.util.event.EventParser";18;1008
"com.siigna.app.model.shape.TextShape";18;864
"com.siigna.app.view.ModuleInterface";18;432
"com.siigna.app.model.Drawing$$anonfun$boundaryScale$1";18;288
"com.siigna.app.model.shape.CircleShape";17;544
"sun.java2d.loops.DrawGlyphList";17;816
"scala.Enumeration$Val";17;544
"java.util.Collections$SynchronizedMap";17;544
"sun.java2d.loops.FillRect";17;816
"com.siigna.util.event.Start";17;408
"long[ ][ ]";16;3072
"java.lang.Thread";16;1664
"java.lang.management.PlatformComponent[ ]";16;328
"sun.java2d.loops.FillSpans";16;768
"sun.java2d.loops.DrawPath";16;768
"sun.java2d.loops.FillPath";16;768
"com.siigna.app.view.Popup";16;640
"java.io.ObjectStreamClass$ClassDataSlot";16;384
"java.util.HashMap$KeySet";16;256
"sun.font.StrikeMetrics";16;896
"sun.java2d.loops.DrawPolygons";16;768
"sun.java2d.loops.DrawRect";16;768
"sun.java2d.loops.DrawLine";16;768
"sun.font.GlyphLayout$SDCache";16;640
"javax.management.openmbean.ArrayType";15;840
"java.lang.management.PlatformComponent";15;720
"java.io.ObjectStreamClass$FieldReflectorKey";15;600
"sun.java2d.StateTrackableDelegate";15;360
"java.io.ObjectStreamClass$FieldReflector";15;600
"java.lang.ThreadLocal$ThreadLocalMap";14;336
"java.lang.ThreadLocal$ThreadLocalMap$Entry[ ]";14;1120
