"Name";"Instance count";"Size (bytes)"
"com.siigna.app.model.shape.PolylineShape$PolylineShapeClosed";41;984
"javax.management.ObjectName$Property[ ]";41;976
"com.jprofiler.agent.probe.a.a.s";40;960
"com.siigna.app.controller.Controller$$anonfun$act$1$$anonfun$apply$1";40;640
"javax.management.MBeanOperationInfo[ ]";39;1192
"scala.collection.immutable.VectorBuilder";39;1872
"java.lang.ThreadLocal$ThreadLocalMap$Entry";37;1184
"sun.reflect.DelegatingClassLoader";36;2304
"javax.management.MBeanParameterInfo";35;1120
"sun.util.logging.PlatformLogger";34;544
"sun.reflect.BootstrapConstructorAccessorImpl";34;544
"java.util.Date";34;816
"sun.util.logging.PlatformLogger$JavaLogger";34;1088
"java.util.Collections$SingletonList";33;792
"scala.collection.mutable.HashEntry[ ]";33;7760
"sun.java2d.StateTrackableDelegate";33;792
"com.siigna.app.model.Drawing$$anonfun$boundaryScale$1";33;528
"com.siigna.app.model.Drawing$$anonfun$3";32;512
"com.siigna.app.model.Drawing$$anonfun$1";32;512
"com.siigna.app.model.Drawing$$anonfun$2";32;512
"sun.awt.SunHints$Value";32;768
"com.sun.jmx.mbeanserver.DefaultMXBeanMappingFactory$IdentityMapping";32;768
"sun.font.SunFontManager$FontRegistrationInfo";31;992
"com.siigna.util.geom.Line2D";31;744
"com.siigna.util.event.EventParser";31;1736
"com.siigna.app.view.ModuleInterface";31;744
"scala.collection.parallel.ForkJoinTaskSupport";31;744
"sun.java2d.loops.DrawGlyphListAA";30;1440
"javax.management.ObjectName$Property";30;720
"java.security.Provider$EngineDescription";30;960
"scala.Array$$anon$2";30;480
"scala.collection.parallel.immutable.LazyParVectorCombiner";30;720
"int[ ][ ]";30;856
"com.siigna.util.event.Start";30;720
"sun.java2d.pipe.PixelToParallelogramConverter";30;1440
"javax.management.MBeanParameterInfo[ ]";30;728
"scala.util.PropertiesTrait$$anonfun$isJavaAtLeast$1";30;480
"com.siigna.app.model.shape.TextShape";29;1392
"sun.misc.URLClassPath$JarLoader";29;1392
"java.awt.AWTKeyStroke";29;696
"java.math.BigDecimal";28;1120
"com.jprofiler.agent.util.a.s";28;1344
"scala.collection.parallel.immutable.ParVector$ParVectorIterator$$anonfun$psplit$1";28;672
"scala.collection.parallel.immutable.ParVector$ParVectorIterator$$anonfun$psplit$2";28;448
"scala.collection.parallel.ParSeqLike$SignalContextPassingIterator$$anonfun$psplit$1";28;448
"scala.collection.mutable.WrappedArray$ofInt";28;448
"com.jprofiler.agent.util.a.t[ ]";28;2240
"sun.java2d.loops.BlitBg";27;1296
"scala.collection.mutable.ArrayOps$ofInt";27;432
"scala.collection.mutable.ArrayBuilder$ofInt";27;648
"com.siigna.module.base.radialmenu.MenuModule";27;648
"com.jprofiler.agent.probe.a.a.s[ ]";26;656
"java.util.Locale";26;624
"sun.nio.cs.UTF_8$Encoder";26;1248
"sun.util.locale.BaseLocale$Key";25;1000
"sun.font.StrikeMetrics";25;1400
"sun.util.locale.BaseLocale";25;800
"sun.font.GlyphLayout$SDCache";25;1000
"sun.awt.image.IntegerInterleavedRaster";24;2496
"sun.awt.image.BufImgSurfaceData";24;1728
"java.awt.image.BufferedImage";24;1152
"sun.font.EAttribute";24;768
"java.awt.image.SinglePixelPackedSampleModel";24;1152
"java.awt.image.DataBufferInt";24;1152
"com.jprofiler.api.agent.probe.ThreadLocalStack";23;368
"java.security.Provider$UString";23;552
"com.jprofiler.api.agent.probe.ThreadLocalStack$1";23;552
"java.security.Provider$Service";23;1288
"java.awt.font.TextAttribute";23;368
"com.siigna.util.event.EventParser$$anonfun$1";23;368
"java.util.jar.Attributes$Name";23;552
"scala.Tuple3";22;528
"scala.collection.mutable.HashMap";22;704
"sun.reflect.generics.tree.ClassTypeSignature";21;336
"long[ ][ ]";21;4032
"scala.collection.TraversableOnce$$anonfun$sum$1";21;336
"scala.collection.parallel.immutable.ParHashMap$ParHashMapIterator$$anon$4";21;840
"scala.collection.parallel.immutable.ParHashMap$ParHashMapIterator$$anon$3";21;840
"java.util.Locale$LocaleKey";21;504
"javax.management.ObjectName";21;840
"sun.font.Font2DHandle";21;336
"scala.collection.immutable.TrieIterator$$anonfun$iteratorWithSize$1";21;336
"com.siigna.app.view.Popup";21;840
"scala.collection.parallel.immutable.ParHashMap$ParHashMapIterator[ ]";21;504
"boolean[ ]";21;664
"sun.font.PhysicalFont[ ]";20;1440
"com.sun.jmx.mbeanserver.NamedObject";20;480
"java.lang.reflect.Field[ ]";20;1648
"sun.font.CompositeFont";20;1920
"com.jprofiler.agent.probe.structures.MetaDataImpl";20;1920
"com.sun.jmx.mbeanserver.WeakIdentityHashMap$IdentityWeakReference";19;608
"java.io.ObjectStreamClass";19;1976
"java.util.zip.ZipCoder";19;608
"sun.java2d.loops.CompositeType";19;456
"java.util.ArrayDeque";19;456
"java.util.TreeMap";19;912
"java.io.ObjectStreamClass$WeakClassKey";19;608
"com.sun.jmx.mbeanserver.MXBeanSupport";18;720
"java.io.FileInputStream";18;576
"com.siigna.app.model.shape.CircleShape";17;544
"sun.java2d.loops.DrawGlyphList";17;816
"sun.java2d.loops.FillRect";17;816
"com.siigna.util.collection.AttributesLike$$anonfun$int$1";17;272
"scala.Enumeration$Val";17;544
"java.util.Collections$SynchronizedMap";17;544
"com.siigna.util.event.MouseDrag";16;512
"sun.java2d.loops.FillSpans";16;768
"sun.java2d.loops.DrawPath";16;768
"sun.java2d.loops.FillPath";16;768
"sun.java2d.loops.DrawRect";16;768
"java.lang.Thread";16;1664
"java.lang.management.PlatformComponent[ ]";16;328
"java.io.ObjectStreamClass$ClassDataSlot";16;384
"java.util.HashMap$KeySet";16;256
"sun.java2d.loops.DrawPolygons";16;768
"sun.java2d.loops.DrawLine";16;768
"java.io.ObjectStreamClass$FieldReflectorKey";15;600
"javax.management.openmbean.ArrayType";15;840
"java.lang.management.PlatformComponent";15;720
"java.io.ObjectStreamClass$FieldReflector";15;600
"scala.collection.immutable.Set$Set1";15;240
"scala.collection.mutable.SetBuilder";15;360
"com.jprofiler.agent.probe.structures.s";14;336
"com.jprofiler.agent.probe.structures.q";14;336
"com.jprofiler.agent.probe.structures.r";14;336
"com.siigna.util.event.End";14;336
"com.siigna.util.collection.AttributesLike$$anonfun$vector2D$1";14;224
"javax.management.StandardMBean";14;336
"java.io.File";14;336
"short[ ][ ]";14;440
"javax.management.openmbean.SimpleType";14;560
"sun.java2d.d3d.D3DSurfaceData$D3DWindowSurfaceData[ ]";14;280
"java.lang.ThreadLocal$ThreadLocalMap";14;336
"java.lang.ThreadLocal$ThreadLocalMap$Entry[ ]";14;1120
"java.util.jar.JarFile";14;896
"java.util.LinkedList$Node";14;336
"sun.awt.CausedFocusEvent$Cause";14;336
"java.lang.ThreadLocal";14;224
"javax.management.MBeanConstructorInfo[ ]";14;240
"sun.java2d.loops.TransformHelper";14;672
"com.siigna.app.model.shape.TextShape$$anonfun$alignment$1";14;224
"com.jprofiler.agent.probe.t";14;224
"com.jprofiler.agent.probe.s";14;336
"com.jprofiler.agent.probe.r";14;1904
"com.siigna.app.model.shape.PolylineShape$PolylineShapeClosed$$anonfun$shapes$1";13;312
"java.io.ObjectStreamClass$ClassDataSlot[ ]";13;312
"com.sun.jmx.mbeanserver.PerInterface";13;520
"com.jprofiler.agent.r";13;416
"java.security.ProtectionDomain[ ]";13;368
"sun.font.TrueTypeFont$DirectoryEntry";13;416
"sun.java2d.loops.DrawGlyphListLCD";13;624
"com.siigna.app.view.Graphics$$anonfun$colorDraw$1";12;192
"com.siigna.app.view.Graphics$$anonfun$draw$1";12;192
"java.awt.geom.ArcIterator";12;1056
"byte[ ][ ]";12;488
"java.awt.geom.Arc2D$Double";12;768
"com.jprofiler.agent.util.a.k";12;192
"scala.collection.IndexedSeqLike$Elements";12;384
"java.awt.AlphaComposite";12;288
"sun.java2d.loops.GraphicsPrimitiveProxy";12;672
"com.jprofiler.agent.probe.a.a.t";12;288
"sun.misc.MetaIndex";12;288
"scala.collection.immutable.VectorIterator";12;768
"sun.java2d.loops.RenderCache$Entry";12;384
"com.siigna.module.cad.create.Input";11;968
"sun.java2d.pipe.Region";11;440
"javax.management.MBeanNotificationInfo[ ]";11;240
"com.siigna.module.cad.create.Input$$anonfun$1";11;176
"com.siigna.app.model.Model$$anonfun$$init$$1";10;160
"com.jprofiler.agent.probe.structures.a";10;240
"sun.java2d.SunGraphics2D";10;2080
"com.siigna.app.model.Selection";10;240
"java.lang.ClassLoader$NativeLibrary";10;320
"sun.security.jca.ProviderConfig";10;320
"com.siigna.app.model.Model";10;320
"java.nio.file.StandardOpenOption";10;240
"java.nio.DirectByteBuffer";10;640
"java.lang.reflect.Type[ ]";10;208
"sun.java2d.d3d.D3DMaskFill";10;480
"com.siigna.app.view.Graphics";10;240
"com.siigna.util.event.MouseEnter";9;288
"java.util.logging.Level";9;216
"sun.reflect.generics.tree.FieldTypeSignature[ ]";9;168
"sun.awt.SunHints$Value[ ]";9;432
"com.siigna.util.event.MouseExit";9;288
"java.util.Arrays$ArrayList";9;216
"sun.java2d.loops.FontInfo";9;504
"scala.collection.parallel.immutable.LazyParVectorCombiner$$anonfun$result$1";9;144
"sun.reflect.UnsafeQualifiedStaticObjectFieldAccessorImpl";9;288
"javax.management.openmbean.CompositeType";9;504
"java.util.LinkedList";9;288
"sun.awt.SunHints$Key";9;216
"java.lang.annotation.ElementType";8;192
"java.lang.OutOfMemoryError";8;256
"sun.java2d.d3d.D3DSwToSurfaceScale";8;384
"sun.text.bidi.BidiBase$ImpTabPair";8;192
"float[ ][ ]";8;1536
"sun.reflect.generics.factory.CoreReflectionFactory";8;192
"javax.management.openmbean.OpenMBeanParameterInfoSupport";8;448
"com.siigna.module.base.radialmenu.category.FileCategory$$anonfun$2 [2 classes]";8;408
"com.siigna.module.cad.create.Input$$anonfun$1$$anonfun$2";8;128
"sun.java2d.loops.RenderCache$Entry[ ]";8;688
"sun.misc.ProxyGenerator$PrimitiveTypeInfo";8;256
"sun.java2d.d3d.D3DSwToTextureBlit";8;384
"com.jprofiler.api.agent.probe.DataType";8;128
"com.siigna.module.cad.create.Vector2DGuide";8;128
"sun.reflect.generics.tree.FormalTypeParameter[ ]";8;144
"java.awt.geom.Rectangle2D$Double";8;384
"sun.java2d.d3d.D3DSwToSurfaceTransform";8;384
"sun.java2d.d3d.D3DSwToSurfaceBlit";8;384
"java.util.jar.JarFile$JarFileEntry";8;640
"byte[ ][ ][ ]";8;192
"com.siigna.module.cad.create.InputRequest";8;448
"sun.java2d.loops.RenderCache";8;128
"java.math.RoundingMode";8;192
"scala.concurrent.forkjoin.ForkJoinWorkerThread";7;1064
"scala.collection.TraversableLike$$anonfun$filter$1";7;168
"sun.misc.PerfCounter";7;168
"scala.concurrent.forkjoin.ForkJoinTask[ ]";7;229488
"java.util.Properties";7;336
"com.sun.jmx.mbeanserver.DefaultMXBeanMappingFactory$CompositeMapping";7;336
"sun.java2d.windows.GDIBlitLoops";7;448
"com.jprofiler.agent.n";7;112
"java.util.Collections$UnmodifiableRandomAccessList";7;168
"sun.management.counter.Units";7;168
"com.siigna.app.model.shape.PolylineShape$$anonfun$8";7;112
"java.nio.DirectLongBufferU";7;392
"sun.java2d.loops.RenderLoops";7;448
"com.siigna.app.view.Graphics$$anonfun$1";7;112
"sun.java2d.StateTrackableDelegate$1";6;96
"com.siigna.module.base.radialmenu.EventSSE$ [2 classes]";6;112
"java.awt.geom.GeneralPath";6;192
"java.net.InetAddress[ ]";6;144
"java.util.concurrent.atomic.AtomicLong";6;144
"java.lang.RuntimePermission";6;144
"java.net.InetAddress$CacheEntry";6;144
"java.awt.geom.Path2D$Float$TxIterator";6;192
"sun.font.FontFamily";6;240
"sun.font.SunFontManager$FamilyDescription";6;288
"sun.java2d.pipe.AAShapePipe";6;96
"sun.reflect.generics.tree.MethodTypeSignature";6;192
"sun.reflect.generics.reflectiveObjects.ParameterizedTypeImpl";6;144
"sun.reflect.generics.repository.MethodRepository";6;240
"sun.reflect.generics.tree.TypeSignature[ ]";6;96
"sun.reflect.generics.scope.MethodScope";6;144
"sun.java2d.pipe.TextRenderer";6;96
"scala.collection.Parallelizable$$anonfun$par$1";6;96
"sun.java2d.d3d.D3DMaskBlit";6;336
"scala.concurrent.forkjoin.LinkedTransferQueue$PaddedAtomicReference";6;480
"com.siigna.module.base.radialmenu.EventS$ [2 classes]";6;312
"scala.collection.immutable.Set$Set2";6;144
"java.awt.image.DirectColorModel";6;864
"sun.management.MemoryPoolImpl$PoolSensor";5;200
"com.siigna.module.base.paperHeader";5;280
